Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs,Pressure (psi),Temperature (°C),Flow Rate (barrels/day),Vibration Level (mm/s),Corrosion Level (mm/year),Last Maintenance Date,Авария
20100016,17305,2010,2010-01-01 07:15:00,32109,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MCPHERSON,MCPHERSON,KS,38.6707,-97.78123,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21.0,0.1,0.0,21.0,NO,NO,NO,,,,,,,,,,,,,,,,110.0,1517.0,0.0,0.0,0.0,0.0,1627,902.0,68.0,116820.0,1.3,0.5,2022-02-19,1.0
20100254,17331,2010,2010-01-04 08:30:00,15786,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,,,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0.0,0.12,0.0,NO,NO,,,,,,,,,,,,,,,,,4000.0,8.0,0.0,0.0,0.0,0.0,4008,887.0,75.0,100263.0,2.4,0.3,2024-03-05,1.0
20100038,17747,2010,2010-01-05 10:30:00,20160,"PETROLOGISTICS OLEFINS, LLC",,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE,SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2.0,0.0,0.0,2.0,NO,NO,,,,,,,,,,,,,,,,,0.0,200.0,0.0,0.0,0.0,0.0,200,1057.0,63.0,102955.0,2.9,0.3,2023-08-13,1.0
20100260,18574,2010,2010-01-06 19:30:00,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.0,0.48,0.0,NO,NO,,,,,,,,,,,,,,,,,200.0,40.0,0.0,11300.0,0.0,0.0,11540,1076.0,72.0,93707.0,2.2,0.3,2024-02-09,1.0
20100030,16276,2010,2010-01-07 13:00:00,300,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,,,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700.0,,698.0,2.0,NO,NO,NO,,,,,,,,,,,,,,,,20000.0,150.0,0.0,7500.0,2000.0,0.0,29650,848.0,66.0,65658.0,1.8,0.4,2023-10-08,1.0
20100021,17161,2010,2010-01-08 23:38:00,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",,ONSHORE,UNDERGROUND,CRUDE OIL,,,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784.0,0.0,1547.0,2237.0,NO,NO,YES,1/8/2010 23:41,1/13/2010 9:17,0.0,,,,,,,,,,,,,76940.0,167775.0,150000.0,1800000.0,2000000.0,0.0,4194715,987.0,55.0,99150.0,1.9,1.2,2022-02-26,1.0
20110036,18052,2010,2010-01-09 00:15:00,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35.0,0.0,30.0,5.0,NO,NO,NO,,,,,,,,,,,,,,,,0.0,400.0,0.0,0.0,70000.0,0.0,70400,850.0,42.0,109092.0,2.2,0.5,2023-05-23,1.0
20100255,18584,2010,2010-01-09 01:12:00,12624,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0.0,0.0,0.24,NO,NO,,,,,,,,,,,,,,,,,400.0,13.0,0.0,0.0,0.0,0.0,413,966.0,57.0,50627.0,2.9,1.0,2022-03-15,1.0
20100261,18050,2010,2010-01-10 19:46:00,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0.0,0.4,0.0,NO,NO,,,,,,,,,,,,,,,,,0.0,336.0,0.0,0.0,40000.0,0.0,40336,1064.0,65.0,108148.0,1.5,0.6,2023-12-22,1.0
20100024,18390,2010,2010-01-11 14:30:00,31684,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PASADENA,HARRIS,TX,29.71478,-95.17611,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0.0,0.48,0.0,NO,NO,NO,,,,,,,,,,,,,,,,0.0,50.0,0.0,10000.0,10000.0,10000.0,30050,1063.0,74.0,75920.0,1.5,1.1,2025-01-14,1.0
